[INFO] RiTa.WordNet.version [033]
file	readability
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query01/CodeSnippet1.java	0.7811397314071655
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query01/CodeSnippet2.java	0.757616400718689
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query02/CodeSnippet1.java	0.9589134454727173
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query02/CodeSnippet2.java	0.8374888300895691
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query03/CodeSnippet1.java	0.8769170045852661
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query03/CodeSnippet2.java	0.820564866065979
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query04/CodeSnippet1.java	0.9487768411636353
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query04/CodeSnippet2.java	0.571324348449707
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query05/CodeSnippet1.java	0.6511250734329224
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query05/CodeSnippet2.java	0.93846195936203
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query06/CodeSnippet1.java	0.9415243268013
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query06/CodeSnippet2.java	0.8481468558311462
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query07/CodeSnippet1.java	0.9579821228981018
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query07/CodeSnippet2.java	0.6594268679618835
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query08/CodeSnippet1.java	0.46094080805778503
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query08/CodeSnippet2.java	0.7374851107597351
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query09/CodeSnippet1.java	0.6135879158973694
/home/carloseduardo/VEM_2021_Replication_Package/2-Extract Code Snippets/snippets/Query09/CodeSnippet2.java	0.8130054771900177
